Column	Units	Description
Site	--	Unique ID for each site
Plot	--	Unique ID for each plot in site
Lon	°E	 Longitude for site
Lat	°N	Latitude for site
Alt	m	Altitude for site
NDVI	--	Normalized Difference Vegetation Index
Stability	--	Stability of NDVI
SD	--	Standard deviation of NDVI
MAP	mm	Mean annual precipitation
MAT	°C	Mean annual temperature
MAP_2010	mm	Mean annual precipitation in 2010
MAT_2010	°C	Mean annual temperature in 2010
NDVI_2010	--	Normalized Difference Vegetation Index in 2010
MAP_2011	mm	Mean annual precipitation in 2011
MAT_2011	°C	Mean annual temperature in 2011
NDVI_2011	--	Normalized Difference Vegetation Index in 2011
NDVI_2010_2011	--	Normalized Difference Vegetation Index during 2010-2011
ANPP_2010_2011	g m-2	Aboveground net primary production during in 2010 or 2011
Soil_pH	--	Soil pH
SOC	mg g-1	Soil organic carbon
TSN	mg g-1	Total soil nitrogen
TSP	mg g-1	Total soil phosphorus
SST	--	Soil fertility, first axis of the PCA on SOC, TSN, and TSP
Soil_biota_alpha	--	z-score in α-diversity of soil biota
Soil_biota_beta	--	z-score in β- diversity of soil biota
Plant_gama	--	z-score in γ- diversity of soil biota
Plant_alpha	--	α-diversity of plants
Plant_beta	--	β-diversity of plants
SB_gama	--	γ-diversity of plants
Nema_alpha	--	α-diversity of soil nematodes
Nema_beta	--	β-diversity of soil nematodes
Nema_gama	--	γ-diversity of soil nematodes
Ba_alpha	--	α-diversity of soil bacteria
Ba_beta	--	β-diversity of soil bacteria
Ba_gama	--	γ-diversity of soil bacteria
Fu_alpha	--	α-diversity of soil fungi
Fu_beta	--	β-diversity of soil fungi
Fu_gama	--	γ-diversity of soil fungi
AB_alpha	--	α-diversity of annuals and biennials
PB_alpha	--	α-diversity of perennial bunchgrasses
PF_alpha	--	α-diversity of perennial forbs
PR_alpha	--	α-diversity of perennial rhizome grasses
SS_alpha	--	α -diversity of shrubs and sub‐shrubs
AB_beta	--	β-diversity of annuals and biennials
PB_beta	--	β-diversity of perennial bunchgrasses
PF_beta	--	β-diversity of perennial forbs
PR_beta	--	β-diversity of perennial rhizome grasses
SS_beta	--	β-diversity of shrubs and sub‐shrubs
BF_alpha	--	α-diversity of bacterial-feeding nematodes
FF_alpha	--	α-diversity of fungal-feeding nematodes
RF_alpha	--	α-diversity of plant-feeding nematodes
OC_alpha	--	α-diversity of omnivorous + carnivorous nematodes
BF_beta	--	β-diversity of bacterial-feeding nematodes
FF_beta	--	β-diversity of fungal-feeding nematodes
RF_beta	--	β-diversity of plant-feeding nematodes
OC_beta	--	β-diversity of omnivorous + carnivorous nematodes
ECM_alpha	--	α-diversity of mycorrhizal fungi
Path_alpha	--	α-diversity of plant-pathogenic fungi
Sap_alpha	--	α-diversity of soil saprobic fungi
ECM_beta	--	β-diversity of mycorrhizal fungi
Path_beta	--	β-diversity of plant-pathogenic fungi
Sap_beta	--	β-diversity of soil saprobic fungi
