Site	Plot	Lon	Lat	Alt	NDVI	SD	Stability	MAP	MAT	MAP_2010	MAT_2010	NDVI_2010	MAP_2011	MAT_2011	NDVI_2011	NDVI_2010_2011	ANPP_2010_2011	Soil_pH	SOC	TSN	TSP	SST	Plant_alpha	Plant_beta	Plant_gama	SB_alpha	SB_beta	SB_gama	Nema_alpha	Nema_beta	Nema_gama	Ba_alpha	Ba_beta	Ba_gama	Fu_alpha	Fu_beta	Fu_gama	AB_alpha	AB_beta	PB_alpha	PB_beta	PF_alpha	PF_beta	PR_alpha	PR_beta	SS_alpha	SS_beta	BF_alpha	BF_beta	FF_alpha	FF_beta	RF_alpha	RF_beta	OC_alpha	OC_beta	ECM_alpha	ECM_beta	Path_alpha	Path_beta	Sap_alpha	Sap_beta
S1 	P1	105.94300 	49.37100 	823.10000 	0.39000 	0.04200 	9.20000 	356.35800 	2.73100 	354.10487 	2.53417 	0.37802 	345.55542 	2.84809 	0.42530 	0.42530 	71.14000 	6.84597 	16.12700 	1.38700 	0.16100 	0.59900 	9.00000 	0.25000 	15.00000 	0.49965 	0.21383 	0.21660 	15.00000 	0.43750 	23.00000 	6183.00000 	0.94700 	9269.00000 	324.00000 	0.97922 	508.00000 	1.00000 	0.28571 	2.00000 	0.00000 	2.00000 	0.80000 	3.00000 	0.12500 	1.00000 	0.20000 	6.00000 	0.33333 	4.00000 	0.66667 	3.00000 	0.50000 	2.00000 	0.33333 	4.00000 	2.00000 	84.00000 	0.57732 	161.00000 	0.82308 
S1 	P2	105.94300 	49.37100 	823.10000 	0.39000 	0.04200 	9.20000 	356.35800 	2.73100 	354.10487 	2.53417 	0.37802 	345.55542 	2.84809 	0.42530 	0.42530 	70.91000 	6.60648 	15.56300 	1.26500 	0.15600 	0.50400 	12.00000 	0.25000 	15.00000 	-0.46228 	0.21383 	0.21660 	19.00000 	0.43750 	23.00000 	2174.00000 	0.94700 	9269.00000 	205.00000 	0.97922 	508.00000 	3.00000 	0.28571 	1.00000 	0.00000 	4.00000 	0.80000 	2.00000 	0.12500 	2.00000 	0.20000 	8.00000 	0.33333 	3.00000 	0.66667 	5.00000 	0.50000 	3.00000 	0.33333 	1.00000 	2.00000 	52.00000 	0.57732 	93.00000 	0.82308 
S1 	P3	105.94300 	49.37100 	823.10000 	0.39000 	0.04200 	9.20000 	356.35800 	2.73100 	354.10487 	2.53417 	0.37802 	345.55542 	2.84809 	0.42530 	0.42530 	64.86000 	6.43352 	14.82000 	1.25800 	0.15600 	0.48000 	15.00000 	0.25000 	15.00000 	0.13130 	0.21383 	0.21660 	14.00000 	0.43750 	23.00000 	5925.00000 	0.94700 	9269.00000 	241.00000 	0.97922 	508.00000 	3.00000 	0.28571 	3.00000 	0.00000 	4.00000 	0.80000 	3.00000 	0.12500 	2.00000 	0.20000 	4.00000 	0.33333 	2.00000 	0.66667 	4.00000 	0.50000 	4.00000 	0.33333 	0.00000 	2.00000 	58.00000 	0.57732 	136.00000 	0.82308 
S2 	P1	106.31200 	49.94100 	739.80000 	0.43700 	0.03800 	11.61400 	372.74000 	1.34200 	365.49659 	1.10716 	0.42475 	345.19638 	1.62808 	0.45829 	0.45829 	185.27000 	7.47398 	14.69300 	1.16700 	0.15600 	0.44500 	16.00000 	0.71429 	32.00000 	0.68607 	-0.24202 	1.03725 	15.00000 	0.25000 	20.00000 	5820.00000 	0.74501 	10459.00000 	412.00000 	1.14010 	886.00000 	2.00000 	0.50000 	2.00000 	0.00000 	9.00000 	0.88571 	2.00000 	1.25000 	1.00000 	0.80000 	5.00000 	0.23529 	4.00000 	0.25000 	3.00000 	0.33333 	3.00000 	0.20000 	4.00000 	1.40000 	64.00000 	0.75182 	172.00000 	0.93140 
S2 	P2	106.31200 	49.94100 	739.80000 	0.43700 	0.03800 	11.61400 	372.74000 	1.34200 	365.49659 	1.10716 	0.42475 	345.19638 	1.62808 	0.45829 	0.45829 	184.17000 	8.00698 	14.37000 	1.47500 	0.16500 	0.60200 	19.00000 	0.71429 	32.00000 	0.52059 	-0.24202 	1.03725 	16.00000 	0.25000 	20.00000 	5269.00000 	0.74501 	10459.00000 	375.00000 	1.14010 	886.00000 	3.00000 	0.50000 	2.00000 	0.00000 	12.00000 	0.88571 	1.00000 	1.25000 	1.00000 	0.80000 	5.00000 	0.23529 	3.00000 	0.25000 	4.00000 	0.33333 	4.00000 	0.20000 	4.00000 	1.40000 	38.00000 	0.75182 	105.00000 	0.93140 
S2 	P3	106.31200 	49.94100 	739.80000 	0.43700 	0.03800 	11.61400 	372.74000 	1.34200 	365.49659 	1.10716 	0.42475 	345.19638 	1.62808 	0.45829 	0.45829 	98.87000 	7.84631 	19.66000 	1.67600 	0.16500 	0.82900 	21.00000 	0.71429 	32.00000 	1.17262 	-0.24202 	1.03725 	17.00000 	0.25000 	20.00000 	6892.00000 	0.74501 	10459.00000 	455.00000 	1.14010 	886.00000 	1.00000 	0.50000 	2.00000 	0.00000 	14.00000 	0.88571 	1.00000 	1.25000 	3.00000 	0.80000 	7.00000 	0.23529 	5.00000 	0.25000 	2.00000 	0.33333 	3.00000 	0.20000 	2.00000 	1.40000 	35.00000 	0.75182 	102.00000 	0.93140 
S3 	P1	106.24200 	49.86100 	768.30000 	0.38600 	0.04900 	7.95000 	374.18500 	2.00100 	368.31219 	1.77458 	0.35151 	350.77034 	2.26409 	0.41286 	0.41286 	109.58000 	5.82778 	13.64000 	1.10100 	0.15500 	0.38000 	5.00000 	0.35000 	9.00000 	-0.07578 	0.38733 	-0.18318 	16.00000 	0.29545 	19.00000 	2950.00000 	1.08311 	8113.00000 	342.00000 	1.03275 	538.00000 	0.00000 	0.50000 	1.00000 	0.50000 	1.00000 	2.00000 	2.00000 	0.20000 	1.00000 	0.28600 	9.00000 	0.36364 	2.00000 	0.28571 	3.00000 	0.28571 	2.00000 	0.12500 	9.00000 	2.00000 	67.00000 	0.55556 	151.00000 	0.88000 
S3 	P2	106.24200 	49.86100 	768.30000 	0.38600 	0.04900 	7.95000 	374.18500 	2.00100 	368.31219 	1.77458 	0.35151 	350.77034 	2.26409 	0.41286 	0.41286 	190.64000 	5.95180 	10.01300 	0.78800 	0.15400 	0.12200 	7.00000 	0.35000 	9.00000 	0.08295 	0.38733 	-0.18318 	13.00000 	0.29545 	19.00000 	6291.00000 	1.08311 	8113.00000 	220.00000 	1.03275 	538.00000 	1.00000 	0.50000 	1.00000 	0.50000 	0.00000 	2.00000 	2.00000 	0.20000 	3.00000 	0.28600 	5.00000 	0.36364 	3.00000 	0.28571 	2.00000 	0.28571 	3.00000 	0.12500 	0.00000 	2.00000 	45.00000 	0.55556 	109.00000 	0.88000 
S3 	P3	106.24200 	49.86100 	768.30000 	0.38600 	0.04900 	7.95000 	374.18500 	2.00100 	368.31219 	1.77458 	0.35151 	350.77034 	2.26409 	0.41286 	0.41286 	130.20000 	6.59128 	8.31000 	0.65100 	0.14400 	-0.06600 	8.00000 	0.35000 	9.00000 	-0.57860 	0.38733 	-0.18318 	15.00000 	0.29545 	19.00000 	2443.00000 	1.08311 	8113.00000 	232.00000 	1.03275 	538.00000 	1.00000 	0.50000 	2.00000 	0.50000 	1.00000 	2.00000 	1.00000 	0.20000 	3.00000 	0.28600 	8.00000 	0.36364 	2.00000 	0.28571 	2.00000 	0.28571 	3.00000 	0.12500 	1.00000 	2.00000 	50.00000 	0.55556 	115.00000 	0.88000 
S4 	P1	106.07400 	49.15800 	925.50000 	0.44300 	0.04200 	10.55100 	336.65200 	1.70400 	333.55272 	1.51434 	0.47341 	331.67354 	1.76933 	0.43046 	0.43046 	146.41000 	7.14985 	24.19300 	1.98400 	0.16000 	1.01000 	21.00000 	0.64516 	34.00000 	0.75484 	-0.71150 	0.60638 	16.00000 	0.27660 	20.00000 	5003.00000 	0.78992 	10440.00000 	472.00000 	0.81364 	665.00000 	2.00000 	0.50000 	3.00000 	0.00000 	12.00000 	0.78125 	2.00000 	0.71429 	2.00000 	1.00000 	8.00000 	0.22727 	3.00000 	0.00000 	2.00000 	0.66667 	3.00000 	0.28571 	13.00000 	1.07692 	70.00000 	0.75568 	234.00000 	0.70270 
